strategy,partition_id,partition_mode,x_split_km,valid_runs,reach_rate_90,t90_avg_h,t90_std_h,t90_uA_h,reach_rate_95,t95_avg_h,t95_std_h,t95_uA_h,reach_rate_99,t99_avg_h,t99_std_h,t99_uA_h
strip_markov_dynamic,gradient_110,gradient,110.0,5,1.000000,17.964000,0.490744,0.219468,1.000000,21.114000,0.266327,0.119105,1.000000,25.226000,1.982859,0.886762
strip_markov_dynamic,gradient_120,gradient,120.0,5,1.000000,17.008000,0.620258,0.277388,1.000000,19.624000,0.195141,0.087270,1.000000,23.868000,1.307830,0.584879
strip_markov_dynamic,gradient_130,gradient,130.0,5,1.000000,16.218000,0.602345,0.269377,1.000000,18.906000,1.138060,0.508956,1.000000,24.378000,2.730178,1.220973
strip_markov_dynamic,gradient_140,gradient,140.0,5,1.000000,15.678000,0.238893,0.106836,1.000000,17.854000,0.995856,0.445361,1.000000,22.450000,0.504926,0.225810
strip_markov_dynamic,gradient_150,gradient,150.0,5,1.000000,16.464000,1.148098,0.513445,1.000000,19.330000,1.148760,0.513741,1.000000,22.548000,0.472620,0.211362
strip_markov_dynamic,gradient_160,gradient,160.0,5,1.000000,16.406000,0.920288,0.411565,1.000000,18.920000,1.685334,0.753704,1.000000,23.002000,1.022922,0.457465
strip_markov_dynamic,gradient_170,gradient,170.0,5,1.000000,15.556000,0.200823,0.089811,1.000000,18.304000,0.690818,0.308943,1.000000,22.612000,2.070186,0.925815
strip_markov_dynamic,gradient_180,gradient,180.0,5,1.000000,16.218000,0.678764,0.303552,1.000000,18.632000,0.440931,0.197190,1.000000,22.042000,0.511635,0.228810
strip_markov_dynamic,gradient_190,gradient,190.0,5,1.000000,17.166000,0.463390,0.207234,1.000000,19.162000,0.471349,0.210794,1.000000,22.464000,0.775422,0.346779
strip_markov_dynamic,gradient_200,gradient,200.0,5,1.000000,19.012000,0.878447,0.392854,1.000000,21.204000,0.715003,0.319759,1.000000,25.288000,0.976099,0.436525
strip_markov_dynamic,gradient_210,gradient,210.0,5,1.000000,20.400000,1.543130,0.690109,1.000000,23.206000,2.445318,1.093579,1.000000,27.616000,2.120408,0.948275
strip_markov_dynamic,gradient_220,gradient,220.0,5,1.000000,19.928000,1.277525,0.571327,1.000000,23.318000,1.333687,0.596443,1.000000,28.424000,1.807520,0.808348
strip_markov_dynamic,gradient_230,gradient,230.0,5,1.000000,20.624000,1.607523,0.718906,1.000000,23.462000,2.063303,0.922737,1.000000,28.730000,1.697778,0.759269
strip_markov_dynamic,gradient_240,gradient,240.0,5,1.000000,21.592000,0.732236,0.327466,1.000000,24.862000,1.141565,0.510523,1.000000,28.836000,1.518875,0.679261
