run_id,figure_id,x_value,x_label,x_unit,repeat_id,uav_speed_km_h,scan_radius_km,turn_radius_km,target_speed_km_h,t90_h,t95_h,t99_h,status,fail_reason,steps,wall_time_s,final_remaining
20260406_020813_16_010_05,16,200.0,UAV Speed,km/h,5,200.0,10.0,10.0,30.0,48.98999999999882,50.80999999999846,113.80000000002131,success_99,,11380,21.929169576000277,99781
20260406_020813_16_011_01,16,210.0,UAV Speed,km/h,1,210.0,10.0,10.0,30.0,46.859999999999246,48.5899999999989,108.91000000001881,success_99,,10891,21.255692180999176,99925
20260406_020813_16_011_02,16,210.0,UAV Speed,km/h,2,210.0,10.0,10.0,30.0,46.859999999999246,48.5899999999989,108.93000000001882,success_99,,10893,24.61544255300032,99685
20260406_020813_16_011_03,16,210.0,UAV Speed,km/h,3,210.0,10.0,10.0,30.0,46.859999999999246,48.5899999999989,108.92000000001882,success_99,,10892,24.02173927399963,99926
20260406_020813_16_011_04,16,210.0,UAV Speed,km/h,4,210.0,10.0,10.0,30.0,46.869999999999244,48.5999999999989,108.92000000001882,success_99,,10892,24.26665509600025,99972
20260406_020813_16_011_05,16,210.0,UAV Speed,km/h,5,210.0,10.0,10.0,30.0,46.859999999999246,48.5899999999989,108.91000000001881,success_99,,10891,23.022922525000467,99834
20260406_020813_16_012_01,16,220.0,UAV Speed,km/h,1,220.0,10.0,10.0,30.0,44.73999999999967,46.38999999999934,104.05000000001633,success_99,,10405,23.12510455499978,99792
20260406_020813_16_012_02,16,220.0,UAV Speed,km/h,2,220.0,10.0,10.0,30.0,44.73999999999967,46.38999999999934,104.04000000001632,success_99,,10404,20.43293303000064,99637
20260406_020813_16_012_03,16,220.0,UAV Speed,km/h,3,220.0,10.0,10.0,30.0,44.73999999999967,46.38999999999934,104.05000000001633,success_99,,10405,23.55207802899895,99927
20260406_020813_16_012_04,16,220.0,UAV Speed,km/h,4,220.0,10.0,10.0,30.0,44.73999999999967,46.38999999999934,104.04000000001632,success_99,,10404,20.55435912199937,99874
20260406_020813_16_012_05,16,220.0,UAV Speed,km/h,5,220.0,10.0,10.0,30.0,44.73999999999967,46.38999999999934,104.05000000001633,success_99,,10405,21.26742652699977,99899
20260406_020813_16_013_01,16,230.0,UAV Speed,km/h,1,230.0,10.0,10.0,30.0,42.83000000000005,44.399999999999736,99.68000000001409,success_99,,9968,22.273986175001482,99663
20260406_020813_16_013_02,16,230.0,UAV Speed,km/h,2,230.0,10.0,10.0,30.0,42.83000000000005,44.409999999999734,99.67000000001408,success_99,,9967,18.928632897999705,99652
20260406_020813_16_013_03,16,230.0,UAV Speed,km/h,3,230.0,10.0,10.0,30.0,42.83000000000005,44.399999999999736,99.65000000001407,success_99,,9965,22.55889535499955,99974
20260406_020813_16_013_04,16,230.0,UAV Speed,km/h,4,230.0,10.0,10.0,30.0,42.83000000000005,44.409999999999734,99.67000000001408,success_99,,9967,22.96373256700099,99714
20260406_020813_16_013_05,16,230.0,UAV Speed,km/h,5,230.0,10.0,10.0,30.0,42.83000000000005,44.399999999999736,99.66000000001408,success_99,,9966,19.783125848000054,99763
20260406_020813_16_014_01,16,240.0,UAV Speed,km/h,1,240.0,10.0,10.0,30.0,40.92000000000043,42.42000000000013,95.27000000001183,success_99,,9527,21.318409519999477,99806
20260406_020813_16_014_02,16,240.0,UAV Speed,km/h,2,240.0,10.0,10.0,30.0,40.92000000000043,42.42000000000013,95.28000000001184,success_99,,9528,18.591722971001218,99698
20260406_020813_16_014_03,16,240.0,UAV Speed,km/h,3,240.0,10.0,10.0,30.0,40.92000000000043,42.42000000000013,95.27000000001183,success_99,,9527,18.418532329998925,99773
20260406_020813_16_014_04,16,240.0,UAV Speed,km/h,4,240.0,10.0,10.0,30.0,40.92000000000043,42.42000000000013,95.26000000001183,success_99,,9526,20.947831184999814,99743
20260406_020813_16_014_05,16,240.0,UAV Speed,km/h,5,240.0,10.0,10.0,30.0,40.92000000000043,42.42000000000013,95.27000000001183,success_99,,9527,23.409496774000218,99983
20260406_020813_16_015_01,16,250.0,UAV Speed,km/h,1,250.0,10.0,10.0,30.0,39.220000000000766,40.67000000000048,91.37000000000984,success_99,,9137,20.76029701400148,99895
20260406_020813_16_015_02,16,250.0,UAV Speed,km/h,2,250.0,10.0,10.0,30.0,39.220000000000766,40.66000000000048,91.36000000000983,success_99,,9136,19.317182624999987,99723
20260406_020813_16_015_03,16,250.0,UAV Speed,km/h,3,250.0,10.0,10.0,30.0,39.21000000000077,40.66000000000048,91.36000000000983,success_99,,9136,18.576234015999944,99845
20260406_020813_16_015_04,16,250.0,UAV Speed,km/h,4,250.0,10.0,10.0,30.0,39.220000000000766,40.67000000000048,91.36000000000983,success_99,,9136,19.857041021999976,99916
20260406_020813_16_015_05,16,250.0,UAV Speed,km/h,5,250.0,10.0,10.0,30.0,39.220000000000766,40.66000000000048,91.38000000000984,success_99,,9138,21.319082752999748,99632
20260406_020813_16_016_01,16,260.0,UAV Speed,km/h,1,260.0,10.0,10.0,30.0,37.73000000000106,39.120000000000786,87.94000000000808,success_99,,8794,19.219726891999017,99782
20260406_020813_16_016_02,16,260.0,UAV Speed,km/h,2,260.0,10.0,10.0,30.0,37.73000000000106,39.120000000000786,87.9600000000081,success_99,,8796,20.496203004000563,99829
20260406_020813_16_016_03,16,260.0,UAV Speed,km/h,3,260.0,10.0,10.0,30.0,37.73000000000106,39.120000000000786,87.95000000000809,success_99,,8795,19.34536752999884,99927
20260406_020813_16_016_04,16,260.0,UAV Speed,km/h,4,260.0,10.0,10.0,30.0,37.73000000000106,39.120000000000786,87.95000000000809,success_99,,8795,18.547132550000242,99800
20260406_020813_16_016_05,16,260.0,UAV Speed,km/h,5,260.0,10.0,10.0,30.0,37.74000000000106,39.130000000000784,87.9600000000081,success_99,,8796,17.244495780998477,99594
20260406_020813_16_017_01,16,270.0,UAV Speed,km/h,1,270.0,10.0,10.0,30.0,36.460000000001315,37.80000000000105,85.01000000000658,success_99,,8501,16.49273420800091,99931
20260406_020813_16_017_02,16,270.0,UAV Speed,km/h,2,270.0,10.0,10.0,30.0,36.460000000001315,37.80000000000105,85.02000000000659,success_99,,8502,15.831481659000929,99637
20260406_020813_16_017_03,16,270.0,UAV Speed,km/h,3,270.0,10.0,10.0,30.0,36.460000000001315,37.80000000000105,85.02000000000659,success_99,,8502,19.14120174799973,99710
20260406_020813_16_017_04,16,270.0,UAV Speed,km/h,4,270.0,10.0,10.0,30.0,36.460000000001315,37.80000000000105,85.02000000000659,success_99,,8502,17.101825706000454,99944
20260406_020813_16_017_05,16,270.0,UAV Speed,km/h,5,270.0,10.0,10.0,30.0,36.460000000001315,37.80000000000105,85.02000000000659,success_99,,8502,19.660560854999858,99633
20260406_020813_16_018_01,16,280.0,UAV Speed,km/h,1,280.0,10.0,10.0,30.0,35.19000000000157,36.48000000000131,82.1000000000051,success_99,,8210,16.498307657000623,99542
20260406_020813_16_018_02,16,280.0,UAV Speed,km/h,2,280.0,10.0,10.0,30.0,35.19000000000157,36.48000000000131,82.1000000000051,success_99,,8210,16.517679399999906,99773
20260406_020813_16_018_03,16,280.0,UAV Speed,km/h,3,280.0,10.0,10.0,30.0,35.19000000000157,36.48000000000131,82.09000000000509,success_99,,8209,15.712362006001058,99526
20260406_020813_16_018_04,16,280.0,UAV Speed,km/h,4,280.0,10.0,10.0,30.0,35.19000000000157,36.48000000000131,82.09000000000509,success_99,,8209,15.286960028999601,99926
20260406_020813_16_018_05,16,280.0,UAV Speed,km/h,5,280.0,10.0,10.0,30.0,35.19000000000157,36.48000000000131,82.09000000000509,success_99,,8209,15.15293636899878,99503
20260406_020813_16_019_01,16,290.0,UAV Speed,km/h,1,290.0,10.0,10.0,30.0,33.92000000000182,35.160000000001574,79.16000000000359,success_99,,7916,15.158535570999447,99619
20260406_020813_16_019_02,16,290.0,UAV Speed,km/h,2,290.0,10.0,10.0,30.0,33.93000000000182,35.160000000001574,79.16000000000359,success_99,,7916,16.874152243000935,99748
20260406_020813_16_019_03,16,290.0,UAV Speed,km/h,3,290.0,10.0,10.0,30.0,33.92000000000182,35.160000000001574,79.16000000000359,success_99,,7916,16.697405631000947,99600
20260406_020813_16_019_04,16,290.0,UAV Speed,km/h,4,290.0,10.0,10.0,30.0,33.92000000000182,35.160000000001574,79.16000000000359,success_99,,7916,17.447873307999544,99865
20260406_020813_16_019_05,16,290.0,UAV Speed,km/h,5,290.0,10.0,10.0,30.0,33.92000000000182,35.160000000001574,79.16000000000359,success_99,,7916,16.93506644199988,99919
20260406_020813_16_020_01,16,300.0,UAV Speed,km/h,1,300.0,10.0,10.0,30.0,32.65000000000207,33.850000000001835,76.2300000000021,success_99,,7623,16.234118520000266,99598
20260406_020813_16_020_02,16,300.0,UAV Speed,km/h,2,300.0,10.0,10.0,30.0,32.65000000000207,33.850000000001835,76.2400000000021,success_99,,7624,15.560824679001598,99693
20260406_020813_16_020_03,16,300.0,UAV Speed,km/h,3,300.0,10.0,10.0,30.0,32.65000000000207,33.850000000001835,76.2300000000021,success_99,,7623,14.864003942000636,99906
20260406_020813_16_020_04,16,300.0,UAV Speed,km/h,4,300.0,10.0,10.0,30.0,32.65000000000207,33.850000000001835,76.2300000000021,success_99,,7623,16.061130408999816,99528
20260406_020813_16_020_05,16,300.0,UAV Speed,km/h,5,300.0,10.0,10.0,30.0,32.65000000000207,33.850000000001835,76.2300000000021,success_99,,7623,17.289400347999617,99911
