run_dir,strategy,partition_id,partition_mode,x_split_km,repeat_id,t90_h,t95_h,t99_h,run_end_h
20260405_162348_68526_4331,strip_markov_dynamic,gradient_090,gradient,90.0,1,19.670000,22.860000,29.150000,36.240000
20260405_162359_68616_2715,strip_markov_dynamic,gradient_090,gradient,90.0,2,19.380000,22.040000,25.770000,39.200000
20260405_162410_68766_5762,strip_markov_dynamic,gradient_090,gradient,90.0,3,19.950000,23.900000,28.520000,37.240000
20260405_162421_68850_7826,strip_markov_dynamic,gradient_090,gradient,90.0,4,21.250000,25.560000,29.590000,39.070000
20260405_162432_68922_9990,strip_markov_dynamic,gradient_090,gradient,90.0,5,20.950000,24.920000,28.600000,35.680000
20260405_162442_69039_6102,static_strip,gradient_100,gradient,100.0,1,17.560000,18.690000,27.040000,28.390000
20260405_162452_69129_5441,static_strip,gradient_100,gradient,100.0,2,17.560000,18.690000,27.040000,28.390000
20260405_162502_69267_6041,static_strip,gradient_100,gradient,100.0,3,17.560000,18.690000,27.040000,28.390000
20260405_162512_69353_6752,static_strip,gradient_100,gradient,100.0,4,17.560000,18.690000,27.040000,28.390000
20260405_162522_69449_5795,static_strip,gradient_100,gradient,100.0,5,17.560000,18.690000,27.040000,28.390000
20260405_162532_69523_7433,strip_markov,gradient_100,gradient,100.0,1,17.920000,19.060000,28.340000,38.020000
20260405_162542_69595_3108,strip_markov,gradient_100,gradient,100.0,2,17.920000,19.060000,28.330000,38.010000
20260405_162553_69679_1485,strip_markov,gradient_100,gradient,100.0,3,17.920000,19.060000,28.330000,38.030000
20260405_162603_69816_3842,strip_markov,gradient_100,gradient,100.0,4,17.920000,19.050000,28.320000,38.020000
20260405_162614_69893_6970,strip_markov,gradient_100,gradient,100.0,5,17.920000,19.060000,28.330000,38.020000
20260405_162624_69981_9723,strip_markov_dynamic,gradient_100,gradient,100.0,1,19.210000,23.060000,28.660000,35.350000
20260405_162635_70060_9503,strip_markov_dynamic,gradient_100,gradient,100.0,2,19.210000,23.060000,28.660000,35.440000
20260405_162646_70132_3540,strip_markov_dynamic,gradient_100,gradient,100.0,3,19.440000,21.900000,24.430000,33.440000
20260405_162656_70214_7482,strip_markov_dynamic,gradient_100,gradient,100.0,4,18.370000,21.250000,25.070000,32.130000
20260405_162707_70352_6537,strip_markov_dynamic,gradient_100,gradient,100.0,5,18.960000,23.030000,28.630000,35.270000
20260405_162718_70435_1749,static_strip,gradient_110,gradient,110.0,1,16.920000,18.180000,19.190000,19.410000
20260405_162727_70523_4175,static_strip,gradient_110,gradient,110.0,2,16.920000,18.180000,19.190000,19.410000
20260405_162736_70595_7797,static_strip,gradient_110,gradient,110.0,3,16.920000,18.180000,19.190000,19.410000
20260405_162746_70683_9286,static_strip,gradient_110,gradient,110.0,4,16.920000,18.180000,19.190000,19.410000
20260405_162755_70773_3986,static_strip,gradient_110,gradient,110.0,5,16.920000,18.180000,19.190000,19.410000
20260405_162805_70909_9992,strip_markov,gradient_110,gradient,110.0,1,17.320000,18.570000,22.030000,40.550000
20260405_162815_70985_6203,strip_markov,gradient_110,gradient,110.0,2,17.320000,18.570000,22.040000,40.520000
20260405_162825_71070_2905,strip_markov,gradient_110,gradient,110.0,3,17.320000,18.580000,22.060000,40.530000
20260405_162836_71142_5224,strip_markov,gradient_110,gradient,110.0,4,17.320000,18.570000,22.060000,40.560000
20260405_162846_71213_2310,strip_markov,gradient_110,gradient,110.0,5,17.320000,18.580000,22.050000,40.540000
20260405_162857_71319_5563,strip_markov_dynamic,gradient_110,gradient,110.0,1,18.630000,21.010000,23.360000,31.090000
20260405_162907_71457_4814,strip_markov_dynamic,gradient_110,gradient,110.0,2,17.620000,20.900000,24.940000,33.190000
20260405_162917_71527_7359,strip_markov_dynamic,gradient_110,gradient,110.0,3,17.640000,21.150000,26.930000,32.680000
20260405_162928_71628_1076,strip_markov_dynamic,gradient_110,gradient,110.0,4,17.580000,21.560000,27.590000,31.560000
20260405_162938_71703_8514,strip_markov_dynamic,gradient_110,gradient,110.0,5,18.350000,20.950000,23.310000,32.930000
20260405_162949_71776_4771,static_strip,gradient_120,gradient,120.0,1,15.920000,17.750000,19.140000,19.460000
20260405_162958_71871_5648,static_strip,gradient_120,gradient,120.0,2,15.920000,17.750000,19.140000,19.460000
20260405_163007_72029_2411,static_strip,gradient_120,gradient,120.0,3,15.920000,17.750000,19.140000,19.460000
20260405_163016_72102_9795,static_strip,gradient_120,gradient,120.0,4,15.920000,17.750000,19.140000,19.460000
20260405_163026_72187_1862,static_strip,gradient_120,gradient,120.0,5,15.920000,17.750000,19.140000,19.460000
20260405_163035_72263_2654,strip_markov,gradient_120,gradient,120.0,1,16.610000,18.390000,30.350000,41.690000
20260405_163045_72350_7940,strip_markov,gradient_120,gradient,120.0,2,16.580000,18.380000,30.350000,41.690000
20260405_163056_72438_7803,strip_markov,gradient_120,gradient,120.0,3,16.600000,18.380000,30.370000,41.710000
20260405_163106_72574_1547,strip_markov,gradient_120,gradient,120.0,4,16.590000,18.380000,30.240000,41.680000
20260405_163117_72657_7572,strip_markov,gradient_120,gradient,120.0,5,16.600000,18.390000,30.290000,41.680000
20260405_163127_72739_1789,strip_markov_dynamic,gradient_120,gradient,120.0,1,16.630000,19.820000,25.430000,29.710000
20260405_163137_72812_1477,strip_markov_dynamic,gradient_120,gradient,120.0,2,17.430000,19.330000,22.790000,32.650000
